사업자번호,순번,업체코드정보,구분명,업체별 그룹명,홈페이지 주소,담당부서,활용목적,시스템 구축완료일자,등록일시,안전상비의약품 취급여부,씨피에이아이디(CPA_ID),모니터링 여부,인증시작일,인증만료일,수신검사기관,관리여부,인증여부
101-82-18279,0,SPSHF,제조업체,기타소매점,,,위해상품판매차단 시스템 연계,2018-11-26,,N,GS1-SPSHF-CPA,N,,,KF,N,N
215-85-13569,0,LT,유통업체,대형마트,http://www.lottemart.com,롯데마트 SCM팀,위해상품판매차단 시스템 연계,2009-12-02,2009-09-02 11:15,N,GS1-LT-CPA,Y,2017-12-02,2019-12-01,"ME,KF,MF,KA,KE,KM,KB,MW,MK,MC",Y,Y
211-87-21455,0,HD,유통업체,백화점,http://www.ehyundai.com/,IT사업부,위해상품판매차단 시스템 연계,2009-12-02,2009-09-17 15:24,N,GS1-HD-CPA,Y,2017-12-02,2019-12-01,"ME,KF,MF,KA,KE,KM,KB,MW,MK,MC",Y,Y
119-81-00851,3,MEGAMART,유통업체,기타소매점,,,위해상품판매차단 시스템 연계,2013-06-01,2009-11-19 12:12,Y,,Y,2017-06-01,2019-05-31,"ME,KF,MF,KA,KD,KE,KM,KB,MW,MK,MC",Y,Y
120-81-44752,0,BKFM,유통업체,편의점,http://cu.bgfretail.com,MD기획팀(상품본부),위해상품판매차단 시스템 연계,2009-12-02,2009-12-03 14:55,Y,GS1-BKFM-CPA,Y,2017-12-02,2019-12-01,"ME,KF,MF,KA,KD,KE,KM,KB,MW,MK,MC",Y,Y
105-86-05788,0,CHOROK,유통업체,기타소매점,http://www.choroc.com,,위해상품판매차단 시스템 연계,2010-05-26,2009-12-16 12:12,N,GS1-CHOROK-CPA,Y,2018-05-26,2020-05-25,"ME,KF,KA,KE,KM,MW,MK,MC",Y,Y
206-86-50913,0,EMART,유통업체,대형마트,http://www.emart.com/,VAN운영파트,위해상품판매차단 시스템 연계,2009-12-02,2010-01-21 15:09,N,GS1-EMART-CPA,Y,2017-12-02,2019-12-01,"ME,KF,MF,KA,KE,KM,KB,MW,MK,MC",Y,Y
116-81-18745,0,GSRT,유통업체,슈퍼마켓,http://www.gsretail.com/,GS25 품질관리TFT,위해상품판매차단 시스템 연계,2009-12-02,2010-01-21 15:52,N,GS1-GSRT-CPA,Y,2017-12-02,2019-12-01,"ME,KF,MF,KA,KE,KM,KB,MW,MK,MC",Y,Y
116-81-18745,1,GS25,유통업체,편의점,www.gsretail.com,GS25 품질관리TFT,위해상품판매차단 시스템 연계,2009-12-02,2010-01-21 15:52,Y,GS1-GS25-CPA,Y,2017-12-02,2019-12-01,"ME,KF,MF,KA,KD,KE,KM,KB,MW,MK,MC",Y,Y
219-81-00317,0,HANWHA,유통업체,백화점,http://dept.galleria.co.kr,IT 서비스 사업부,위해상품판매차단 시스템 연계,2010-03-24,2010-03-11 9:53,N,GS1-HANWHA-CPA,Y,2018-03-24,2020-03-23,"ME,KF,MF,KA,KB,MW,MK,MC",Y,Y
220-81-60348,0,TESCO,유통업체,대형마트,http://www.homeplus.co.kr,정보서비스1팀,위해상품판매차단 시스템 연계,2010-08-27,2010-03-12 10:48,N,GS1-TESCO-CPA,Y,2018-08-27,2020-08-26,"ME,KF,MF,KA,KE,KM,KB,MW,MK,MC",Y,Y
211-86-76540,0,HMALL,유통업체,온라인몰,,,위해상품판매차단 시스템 연계,2010-08-12,2010-08-12 12:12,N,GS1-HMALL-CPA,N,2010-09-15,2016-09-15,,N,N
220-81-60348,1,TESCO,유통업체,슈퍼마켓,,,위해상품판매차단 시스템 연계,2010-08-27,2010-08-27 12:12,N,,Y,2018-08-27,2020-08-26,"ME,KF,MF,KA,KE,KM,KB,MW,MK,MC",Y,Y
106-81-51510,0,CJOSHOP,유통업체,온라인몰,http://www.cjmall.com/,정보기획팀,위해상품판매차단 시스템 연계,2010-09-15,2010-09-10 10:24,N,GS1-CJOSHOP-CPA,Y,2018-09-15,2020-09-14,"ME,KF,MF,KA,KE,KM,KB,MW,MK,MC",Y,Y
117-81-33642,0,NSESHOP,유통업체,온라인몰,http://www.nseshop.com,,위해상품판매차단 시스템 연계,2011-11-11,2010-09-16 12:12,N,GS1-NSESHOP-CPA,Y,2017-11-11,2019-11-10,"ME,KF,MF,KA,KE,KM,KB,MW,MK,MC",Y,Y
606-81-31353,0,SEOWON,유통업체,대형마트,http://www.seowon.com/,전산실,위해상품판매차단 시스템 연계,2010-10-15,2010-09-17 14:56,N,GS1-SEOWON-CPA,Y,2018-10-15,2020-10-14,"ME,KF,MF,KB,MW,MK,MC",Y,Y
608-85-15740,0,MDAEWOO,유통업체,백화점,http://www.daewoodept.co.kr/,재경팀 상품관리,위해상품판매차단 시스템 연계,2010-09-29,2010-09-28 17:08,N,GS1-MDAEWOO-CPA,N,2010-09-29,2016-09-29,"KA,KB,KF,ME,MF,MC,MK,MW",N,N
215-87-30150,0,SHINSI,유통업체,기타소매점,,본사,중소위해상품판매차단 시스템 연계,2010-12-03,2010-11-02 11:34,N,,N,,,,N,N
106-83-07115,0,MND,유통업체,기타소매점,http://www.welfare.mil.kr,정보통신부,위해상품판매차단 시스템 연계,2011-02-16,2010-11-18 11:41,N,GS1-MND-CPA,Y,2019-02-16,2021-02-15,"ME,KF,MF,KA,KE,KM,KB,MW,MK,MC",Y,Y
104-86-59132,0,NH,유통업체,슈퍼마켓,http://www.nhhanaro.co.kr,식품유통부,위해상품판매차단 시스템 연계,2011-04-05,2011-02-21 12:12,N,GS1-NH-CPA,Y,2019-04-05,2021-04-04,"ME,KF,MF,KA,KE,KM,KB,MW,MK,MC",Y,Y
104-86-59132,1,NH,유통업체,대형마트,http://www.nhhanaro.co.kr,,위해상품판매차단 시스템 연계,2011-04-05,2011-02-21 12:12,N,,Y,2019-04-05,2021-04-04,"ME,KF,MF,KA,KE,KM,KB,MW,MK,MC",Y,Y
119-81-00851,0,MEGAMART,유통업체,대형마트,http://home.megamart.com/,영업전략실,위해상품판매차단 시스템 연계,2011-06-22,2011-02-22 12:12,N,GS1-MEGAMART-CPA,Y,2017-06-22,2019-06-21,"ME,KF,MF,KA,KE,KM,KB,MW,MK,MC",Y,Y
119-81-00851,1,MEGAMART,유통업체,백화점,http://home.megamart.com/,,위해상품판매차단 시스템 연계,2011-06-22,2011-02-22 12:12,N,,Y,2017-06-22,2019-06-21,"ME,KF,MF,KA,KE,KM,KB,MW,MK,MC",Y,Y
119-81-00851,2,MEGAMART,유통업체,슈퍼마켓,,,위해상품판매차단 시스템 연계,2011-06-22,2011-02-22 12:12,N,,Y,2017-06-22,2019-06-21,"ME,KF,MF,KA,KE,KM,KB,MW,MK,MC",Y,Y
111-11-11111,0,SBDC,유통업체,나들가게,,소상공인진흥원,위해상품판매차단시스템연계,2009-12-02,2011-03-25 16:19,Y,GS1-SBDC-CPA,Y,2009-12-10,2010-12-10,"ME,KF,MF,KD,KE,KM,KB,MR,MW,MK,MC",Y,Y
201-81-32195,0,SHINSEGAE,유통업체,백화점,http:/www.shinsegae.com,시스템기획팀,위해상품판매차단 시스템 연계,2011-07-18,2011-05-24 12:12,N,GS1-SHINSEGAE-CPA,Y,2017-07-18,2019-07-17,"KA,KB,KF,ME,MF,MC,MK,MW",Y,Y
104-81-76378,0,CJOLIVEYOUNG,유통업체,기타소매점,http:/www.cjoliveyoung.co.kr,IT서비스팀,위해상품판매차단 시스템 연계,2011-12-09,2011-05-26 12:12,N,GS1-CJOLIVEYOUNG-CPA,Y,2017-12-09,2019-12-08,"ME,KF,MF,KA,KE,KM,KB,MW,MK,MC",Y,Y
114-86-51971,0,CSPACE,유통업체,편의점,http://cspace.co.kr,기획실전산팀,위해상품판매차단 시스템 연계,2011-06-29,2011-06-17 12:12,Y,GS1-CSPACE-CPA,Y,2017-06-29,2019-06-28,"ME,KF,MF,KA,KD,KE,KM,KB,MW,MK,MC",Y,Y
206-85-11698,0,LTSUPER,유통업체,슈퍼마켓,,,위해상품판매차단 시스템 연계,2011-11-24,2011-07-14 12:12,N,GS1-LTSUPER-CPA,Y,2017-11-24,2019-11-23,"ME,KF,MF,KA,KE,KM,KB,MW,MK,MC",Y,Y
208-81-27413,0,7ELEVEN,유통업체,편의점,http:/www.7-eleven.co.kr,상품부/푸드팀,위해상품판매차단 시스템 연계,2011-06-01,2011-08-03 12:12,Y,GS1-7ELEVEN-CPA,Y,2019-06-01,2021-05-31,"ME,KF,MF,KA,KD,KE,KM,KB,MW,MK,MC",Y,Y
208-81-27413,1,7ELEVEN,유통업체,편의점,,,위해상품판매차단 시스템 연계,2011-06-01,2011-08-03 12:12,Y,,Y,2019-06-01,2021-05-31,"ME,KF,MF,KA,KD,KE,KM,KB,MW,MK,MC",Y,Y
117-81-13253,0,GSSHOP,유통업체,온라인몰,http://company.gsshop.com/,,위해상품판매차단 시스템 연계,2011-12-01,2011-08-29 12:12,N,GS1-GSSHOP-CPA,Y,2017-12-01,2019-11-30,"ME,KF,MF,KA,KE,KM,KB,MW,MK,MC",Y,Y
315-04-63147,0,JUIN,유통업체,기타소매점,,,위해상품판매차단 시스템 연계,,2011-09-02 14:44,N,GS1-JUIN-CPA,N,,,"KA,KB,KF,ME,MF,MC,MK,MW",N,N
114-81-01855,0,ELAND,유통업체,슈퍼마켓,http://www.elandretail.com/,이랜드 시스템스,위해상품차단시스템,2012-04-02,2012-03-28 20:05,N,GS1-ELAND-CPA,Y,2018-04-02,2020-04-01,"ME,KF,MF,KA,KE,KM,KB,MW,MK,MC",Y,Y
117-81-33400,0,LOTTEIMALL,유통업체,온라인몰,http://www.lotteimall.com,품질연구센터,위해상품판매차단 시스템 연계,2012-04-18,2012-04-17 15:08,N,GS1-LOTTEIMALL-CPA,Y,2020-04-18,2022-04-17,"ME,KF,MF,KA,KE,KM,KB,MW,MK,MC",Y,Y
210-81-41081,0,SAVEZONE,유통업체,백화점,http://www.savezone.co.kr/,,,2012-02-17,2012-05-07 15:05,N,GS1-SAVEZONE-CPA,Y,2018-02-17,2020-02-16,KF,Y,Y
120-85-13112,0,EVERYDAY,유통업체,슈퍼마켓,,,,2012-10-24,2012-08-21 11:54,N,GS1-EVERYDAY-CPA,Y,2018-10-24,2020-10-23,"ME,KF,MF,KA,KE,KM,KB,MW,MK,MC",Y,Y
815-81-01244,0,11ST,유통업체,온라인몰,http://www.11st.co.kr,,,2012-11-29,2012-08-23 14:20,N,GS1-11ST-CPA,Y,2020-11-29,2020-11-28,"ME,KF,MF,KA,KE,KM,KB,MW,MK,MC",Y,Y
116-81-63309,0,MINISTOP,유통업체,편의점,http://www.ministop.co.kr,,,2012-10-24,2012-09-23 20:15,Y,GS1-MINISTOP-CPA,Y,2018-10-24,2020-10-23,"ME,KF,MF,KD,KE,KM,KB,MR,MW,MK,MC",Y,Y
409-81-82421,0,ALLIBUY,유통업체,기타소매점,http://www.allibuy.co.kr,전산실,,2012-11-16,2012-11-16 17:55,Y,GS1-ALLIBUY-CPA,N,,,"KA,KB,KD,KF,ME,MF,MC,MK,MW",N,N
220-81-60348,2,HOMEPLUS365,유통업체,편의점,,,위해상품판매차단 시스템 연계,2012-11-06,2012-11-19 20:02,Y,GS1-HOMEPLUS365-CPA,Y,2018-11-06,2020-11-05,"ME,KF,MF,KA,KD,KE,KM,KB,MW,MK,MC",Y,Y
214-86-42700,0,WINNERSOFT,유통업체,편의점,http://www.winnersoft.co.kr,개발팀,위해의약품 판매차단,2012-11-21,2012-11-21 17:18,Y,GS1-WINNERSOFT-CPA,N,,,"KA,KB,KD,KF,ME,MF,MC,MK,MW",N,N
220-81-86969,0,IGAKOREA,유통업체,기타소매점,http://www.igakorea.com,전산실,,2012-11-26,2012-11-26 13:27,Y,GS1-IGAKOREA-CPA,N,,,"KA,KB,KD,KF,ME,MF,MC,MK,MW",N,N
211-81-08241,0,HGF,유통업체,슈퍼마켓,http://www.hyundaigreenfood.com/,전산,,2013-01-16,2012-11-28 14:15,N,GS1-HGF-CPA,Y,2019-01-16,2021-01-15,"KF,KA,MW,MK,MC",Y,Y
211-81-08241,1,HGF1,유통업체,식자재,http://www.hyundaigreenfood.com/,전산,,2015-07-31,2012-11-28 14:15,N,GS1-HGF1-CPA,Y,2017-07-31,2019-07-30,"KF,MF,KA,MW,MK,MC",Y,Y
215-85-13569,2,LT,유통업체,대형마트,http://company.lottemart.com/vc/main.do,,위해상품판매차단 시스템 연계,2013-01-01,2013-01-01 10:35,N,,Y,2017-12-02,2019-12-01,"ME,KF,MF,KA,KE,KM,KB,MW,MK,MC",Y,Y
215-85-13569,3,LT,유통업체,대형마트,http://toysrus.lottemart.com/index.do,,위해상품판매차단 시스템 연계,2013-01-01,2013-01-01 10:35,N,,Y,2017-12-02,2019-12-01,"ME,KF,MF,KA,KE,KM,KB,MW,MK,MC",Y,Y
602-81-06191,0,SWTS,유통업체,슈퍼마켓,,,,2013-04-19,2013-04-19 14:16,Y,GS1-SWTS-CPA,N,,,,N,N
124-81-76746,0,DREAM,유통업체,기타소매점,,,,2013-04-30,2013-05-16 16:21,Y,GS1-DREAM-CPA,N,,,"KA,KB,KD,KF,ME,MF,MC,MK,MW",N,N
206-86-50913,1,EMART,유통업체,기타소매점,http://www.boons.co.kr/,VAN운영파트,위해상품판매차단 시스템 연계,2014-09-02,2013-06-30 12:12,N,,Y,2018-09-02,2020-09-01,"ME,KF,MF,KA,KE,KM,KB,MW,MK,MC",Y,Y
107-86-57147,0,KORAIL,유통업체,편의점,http://www.korailretail.com,,,2014-08-28,2013-07-26 19:27,Y,GS1-KORAIL-CPA,Y,2018-08-28,2020-08-27,"ME,KF,MF,KA,KD,KE,KM,KB,MW,MK,MC",Y,Y
211-86-76540,1,HMALL1,유통업체,온라인몰,,,위해상품판매차단 시스템 연계,2010-09-15,2013-10-11 12:12,N,GS1-HMALL1-CPA,Y,2020-09-15,2022-09-14,"ME,KF,MF,KA,KE,KM,KB,MW,MK,MC",Y,Y
870-88-01143,0,EMARTMALL,유통업체,온라인몰,http://www.ssg.com,,,2014-04-22,2013-10-11 12:12,N,GS1-EMARTMALL-CPA,Y,2018-04-22,2020-04-21,"ME,KF,MF,KA,KE,KM,KB,MW,MK,MC",Y,Y
870-88-01143,1,EMARTMALL,유통업체,온라인몰,http://www.ssg.com,,,2014-04-22,2013-10-11 12:12,N,,Y,2018-04-21,2020-04-22,"ME,KF,MF,KA,KE,KM,KB,MW,MK,MC",Y,Y
206-86-50913,2,EMART,유통업체,대형마트,http://www.emart.com,,,2014-01-01,2014-01-01 17:49,N,,Y,2017-12-02,2019-12-01,"ME,KF,MF,KA,KE,KM,KB,MW,MK,MC",Y,Y
220-81-48607,0,SPCN,유통업체,기타음식점,,,위해상품판매차단 시스템 연계,2014-09-26,2014-09-03 12:12,N,GS1-SPCN-CPA,Y,2018-09-26,2020-09-25,"KF,MW",Y,Y
312-81-42519,0,CJJEIL,유통업체,기타음식점,,,위해상품판매차단 시스템 연계,2014-09-26,2014-09-15 12:12,N,GS1-CJJEIL-CPA,Y,2018-09-26,2020-09-25,"ME,KF,MW,MK,MC",Y,Y
105-86-92454,0,EMART24,유통업체,편의점,http://www.emart24.co.kr,,위해상품판매차단 시스템 연계,2014-11-04,2014-09-22 12:12,Y,GS1-EMART24-CPA,Y,2018-11-04,2020-11-03,"ME,KF,MF,KA,KD,KE,KM,KB,MW,MK,MC",Y,Y
206-86-50913,3,EMART,유통업체,기타소매점,http://mollys.emart.com/index.jsp,,,2014-12-31,2014-12-31 17:49,N,,Y,2018-12-31,2020-12-30,"ME,KF,MF,KA,KE,KM,KB,MW,MK,MC",Y,Y
114-81-80641,0,ORGA,유통업체,슈퍼마켓,http://www.orga.co.kr,,위해상품판매차단 시스템 연계,2015-05-13,2015-02-02 16:08,N,GS1-ORGA-CPA,Y,2019-05-13,2021-05-12,"ME,KF,MF,KA,KE,KM,MW,MK,MC",Y,Y
129-86-38418,0,FINE,유통업체,기타소매점,,,위해의약품 판매차단,,2015-03-04 12:12,Y,GS1-FINE-CPA,N,,,"KA,KB,KD,KF,ME,MF,MC,MK,MW",N,N
107-86-57899,0,WATSONS,유통업체,기타소매점,http://gswatsons.gsretail.com/,,위해상품판매차단 시스템 연계,2015-04-14,2015-04-03 16:08,N,GS1-WATSONS-CPA,Y,2019-04-14,2021-04-13,"ME,KF,MF,KA,KE,KM,KB,MW,MK,MC",Y,Y
504-22-80978,0,AEND,유통업체,기타소매점,,,위해상품판매차단 시스템 연계,2015-04-28,2015-04-28 14:48,Y,GS1-AEND-CPA,N,,,"KA,KB,KF,KD,ME,MF,MC,MK,MW",N,N
104-86-51732,0,WELSTORY,유통업체,식자재,www.samsungwelstory.com,,위해상품판매차단 시스템 연계,2015-07-31,2015-05-26 10:08,N,GS1-WELSTORY-CPA,Y,2019-07-31,2021-07-30,"KF,MF,MW",Y,Y
123-12-12345,0,BKINFO,유통업체,기타소매점,,개발팀,위해식품판매차단 시스템 연계,,2015-06-05 15:39,Y,GS1-BKINFO-CPA,N,,,"KA,KB,KF,KD,ME,MF,MC,MK,MW",N,N
617-81-53264,0,TRIAL,유통업체,기타소매점,,,위해식품판매차단 시스템 연계,2015-08-04,2015-08-04 18:12,Y,GS1-TRIAL-CPA,N,,,"KA,KB,KF,ME,MF,MC,MK,MW",N,N
220-81-83676,0,GMARKET,유통업체,온라인몰,http://www.gmarket.co.kr,,,2015-09-08,2015-08-07 17:53,N,GS1-GMARKET-CPA,Y,2019-09-08,2021-09-07,"ME,KF,MF,KA,KE,KM,KB,MW,MK,MC",Y,Y
220-81-83676,1,AUCTION,유통업체,온라인몰,http://www.auction.co.kr,,,2015-09-08,2015-08-07 17:53,N,GS1-AUCTION-CPA,Y,2019-09-08,2021-09-07,"ME,KF,MF,KA,KE,KM,KB,MW,MK,MC",Y,Y
204-86-19255,0,DAESANG,유통업체,식자재,,,,2015-08-20,2015-08-28 17:53,N,GS1-DAESANG-CPA,Y,2017-08-20,2019-08-19,"ME,KF,MW,MC",Y,Y
211-87-21455,1,HDMALL,유통업체,온라인몰,,,위해식품판매차단 시스템 연계,2016-03-18,2015-12-17 9:43,N,GS1-HDMALL-CPA,Y,2018-03-18,2020-03-17,"ME,KF,MF,KA,KE,KM,KB,MW,MK,MC",Y,Y
105-82-00219,0,SAHOE,제조업체,기타소매점,,,위해식품판매차단 시스템 연계,2016-01-04,2016-01-04 14:51,N,GS1-SAHOE-CPA,Y,,,"KF,ME,MF,KA,KB,MC,MK,MW",N,N
215-85-13569,1,LTOL,유통업체,온라인몰,,,위해식품판매차단 시스템 연계,2017-06-08,2016-02-04 12:12,N,GS1-LTOL-CPA,Y,2017-06-08,2019-06-07,"ME,KF,MF,KA,KE,KM,KB,MW,MK,MC",Y,Y
215-81-47377,0,SSGFD,유통업체,식자재,http://www.shinsegaefood.com,,위해식품판매차단 시스템 연계,2016-06-29,2016-03-07 12:12,N,GS1-SSGFD-CPA,Y,2018-06-29,2020-06-28,"ME,KF,MF,MW",Y,Y
603-81-11270,0,CJFRESH,유통업체,식자재,http://www.cjfreshway.com,,위해식품판매차단 시스템 연계,2016-06-29,2016-03-07 13:12,N,GS1-CJFRESH-CPA,Y,2020-06-29,2022-06-28,"ME,KF,KE,MW,MC",Y,Y
220-81-60348,3,HOMEPLUSMALL,유통업체,온라인몰,http://www.homeplus.co.kr,,위해식품판매차단 시스템 연계,2017-05-16,2016-03-23 12:12,N,GS1-HOMEPLUSMALL-CPA,Y,2017-05-16,2019-05-15,"ME,KF,MF,KA,KE,KM,KB,MW,MK,MC",Y,Y
312-81-15986,0,SH,유통업체,슈퍼마켓,,,위해식품판매차단 시스템 연계,2017-12-19,2016-04-12 10:29,N,GS1-SH-CPA,Y,2017-12-19,2019-12-18,"ME,KF,KA,KE,KM,KB,MW,MK,MC",Y,Y
120-87-55227,0,WEMAKEPRICE,유통업체,온라인몰,,,위해식품판매차단 시스템 연계,2016-07-12,2016-05-23 16:37,N,GS1-WEMAKEPRICE-CPA,Y,2018-07-12,2020-07-11,"ME,KF,MF,KA,KE,KM,KB,MW,MK,MC",Y,Y
214-86-79828,0,DONGWONFD,유통업체,식자재,www.hwhf.co.kr,,위해식품판매차단 시스템 연계,2017-12-19,2016-05-24 10:42,N,GS1-DONGWONFD-CPA,Y,2017-12-19,2019-12-18,"KF,MW",Y,Y
214-88-08045,0,PRCOMPANY,제조업체,기타소매점,http://www.prcompany.co.kr/,,위해식품판매차단 시스템 연계,,2016-07-19 15:05,N,GS1-PRCOMPANY-CPA,Y,,,"KF,ME,MF,KA,KB,MC,MK,MW",N,N
104-81-26067,0,LTDS,유통업체,백화점,http://www.lotteshopping.com,,위해상품판매차단 시스템 연계,2011-10-10,2016-09-22 12:12,N,GS1-LTDS-CPA,N,,,"KA,KB,KF,ME,MF,MC,MK,MW",N,N
105-87-58545,0,HOMEANDSHOP,유통업체,온라인몰,http://www.hnsmall.com,,위해식품판매차단 시스템 연계,2016-10-14,2016-10-07 15:01,N,GS1-HOMEANDSHOP-CPA,Y,2020-10-14,2022-10-13,"ME,KF,MF,KA,KE,KM,KB,MW,MK,MC",Y,Y
214-87-98889,0,INTERPARK,유통업체,온라인몰,http://www.interpark.com,,위해식품판매차단 시스템 연계,2018-02-28,2016-12-08 13:15,N,GS1-INTERPARK-CPA,Y,2020-02-28,2022-02-27,"ME,KF,MF,KA,KE,KM,KB,MW,MK,MC",Y,Y
529-85-00774,0,LOTTECOM,유통업체,온라인몰,www.lotte.com,,,2018-04-16,2017-02-22 13:10,N,GS1-LOTTECOM-CPA,Y,2020-04-16,2022-04-15,"ME,KF,MF,KA,KE,KM,KB,MW,MK,MC",Y,Y
211-88-41856,0,TMON,유통업체,온라인몰,www.tmon.co.kr,,위해식품판매차단 시스템 연계,2017-03-08,2017-02-24 13:15,N,GS1-TMON-CPA,Y,2019-03-08,2021-03-07,"ME,KF,MF,KA,KE,KM,KB,MW,MK,MC",Y,Y
107-81-76324,0,OURHOME,유통업체,식자재,http://www.ourhome.co.kr/,,,2017-03-31,2017-03-24 13:15,Y,GS1-OURHOME-CPA,Y,2019-03-31,2021-03-30,"KF,KD,MW",Y,Y
104-81-16860,0,HIMART,유통업체,전문제품점,http://www.e-himart.co.kr,,위해식품판매차단 시스템 연계,2017-09-12,2017-07-18 18:56,N,GS1-HIMART-CPA,Y,2017-09-12,2019-09-11,"ME,KF,MF,KA,KE,KM,KB,MW,MK,MC",Y,Y
125-81-29907,0,AKDEPT,유통업체,백화점,http://www.akplaza.com,,위해식품판매차단 시스템 연계,2018-03-30,2017-12-14 16:05,N,GS1-AKDEPT-CPA,Y,2018-03-30,2020-03-29,"ME,KF,KE,MW",Y,Y
129-85-42351,1,AKMALL,유통업체,온라인몰,http://www.akmall.com,,위해식품판매차단 시스템 연계,2018-01-31,2017-12-14 16:05,N,GS1-AKMALL-CPA,Y,2018-01-31,2020-01-30,"ME,KF,MF,KA,KE,KM,KB,MW,MK,MC",Y,Y
219-81-00317,1,HANWHAON,유통업체,온라인몰,www.galleria.co.kr,,,2018-11-23,2018-11-23 10:04,N,GS1-HANWHAON-CPA,Y,2018-11-23,2020-11-22,"ME,KF,MF,KA,KE,KM,KB,MR,MW,MK,MC",Y,Y
314-81-23992,0,KGC,유통업체,온라인몰,http://www.kgc.co.kr,,,2018-12-05,2018-12-05 10:04,N,GS1-KGC-CPA,Y,2018-12-05,2020-12-04,"KF,MF",Y,Y
116-81-18745,2,GSFRESH,유통업체,온라인몰,http://www.gsfresh.com,,,2020-04-29,2020-04-29 14:34,N,GS1-GSFRESH-CPA,Y,2020-09-17,2022-09-17,"ME,KF,MF,KA,KD,KE,KM,KB,MW,MK,MC",N,Y
213-81-52063,0,DAISO,유통업체,기타소매점,,,위해상품판매차단 시스템 연계,2020-08-20,2020-08-13 13:04,N,GS1-DAISO-CPA,N,,,"ME,KF,MF,KA,KE,KM,KB,MW,MK,MC",N,N
120-88-00767,0,CUPANG,유통업체,온라인몰,https://www.coupang.com,,,2020-11-03,2020-11-03 13:39,N,GS1-CUPANG-CPA,Y,2020-12-28,2022-12-27,"ME,KF,MF,KA,KD,KE,KM,KB,MW,MK,MC,KI,KH",Y,Y
125-85-31546,0,HANMI,유통업체,기타소매점,https://www.hanmihealthcare.co.kr,,위해상품판매차단 시스템 연계,2021-04-23,2021-04-23 10:08,N,GS1-HANMI-CPA,Y,,,"ME,KF,MF,KA,KE,KM,KB,MW,MK,MC,KH",Y,N
492-87-00855,0,SKSTOA,유통업체,온라인몰,https://www.skstoa.com,,위해상품판매차단 시스템 연계,2021-05-31,2021-05-18 10:08,N,GS1-SKSTOA-CPA,Y,2021-05-31,2023-05-30,"ME,KF,MF,KA,KE,KM,KB,KI,KH,MW,MK,MC",Y,Y
220-81-62517,0,NAVER,유통업체,온라인몰,https://www.naver.com,,위해상품판매차단 시스템 연계,2021-06-11,2021-06-14 10:08,N,GS1-NAVER-CPA,Y,2021-08-02,2023-08-01,"ME,KF,MF,KA,KE,KM,KB,KI,KH,MW,MK,MC",Y,Y
502-86-28395,0,SSGTV,유통업체,온라인몰,http://tv.ssg.com,,위해상품판매차단 시스템 연계,2022-01-25,2022-01-25 11:09,N,GS1-SSGTV-CPA,Y,,,"ME,KF,MF,KA,KD,KE,KM,KB,KI,KH,MW,MK,MC",Y,N
891-88-00985,1,KAKAO,유통업체,온라인몰,http://kakaocommerce.com,,위해상품판매차단 시스템 연계,2022-04-07,2022-04-07 11:09,N,GS1-KAKAO-CPA,Y,,,"ME,KF,MF,KA,KD,KE,KM,KB,KI,KH,MW,MK,MC",Y,N
